battery_voltage,load_voltage,set_voltage,pwm_duty_cycle,label
5.23,3.9,3.45,184.79,2
6.36,4.24,4.11,125.98,2
4.52,3.84,4.69,212.74,1
4.71,3.48,1.64,247.49,2
8.09,2.28,2.83,187.56,1
3.83,1.81,1.14,139.14,2
5.91,3.57,1.78,11.08,2
5.42,1.56,3.36,215.38,1
8.06,5.31,3.79,218.42,2
3.33,5.36,4.01,102.85,2
6.27,3.9,2.83,112.95,2
4.48,2.51,2.94,168.59,1
3.98,5.36,3.61,4.91,2
6.93,3.37,3.01,6.23,2
8.26,3.35,4.18,18.02,1
4.42,2.81,1.01,249.89,2
8.11,2.28,2.21,15.91,2
4.88,2.74,1.95,206.32,2
7.18,3.64,1.94,98.01,2
5.96,3.08,1.4,135.08,2
6.46,3.57,1.58,48.77,2
7.98,1.65,1.01,4.32,2
4.33,0.5,1.54,243.3,1
3.47,6.01,4.53,246.48,2
3.42,1.81,3.37,13.73,1
3.13,1.27,2.7,140.1,1
7.88,4.01,3.09,158.0,2
8.47,4.56,3.99,209.16,2
4.7,3.39,3.18,67.14,2
7.07,1.04,2.43,80.31,1
3.26,3.84,5.0,127.14,1
4.36,3.58,3.26,171.16,2
4.91,3.73,2.95,207.53,2
5.29,3.02,2.21,28.35,2
6.2,2.71,1.3,224.34,2
4.14,3.62,4.32,56.08,1
7.51,5.03,3.41,207.47,2
3.29,1.93,1.49,178.97,2
4.69,2.51,1.43,243.08,2
5.21,0.48,2.12,207.37,1
4.27,3.84,4.77,154.71,1
3.51,2.81,1.55,170.56,2
8.26,5.7,4.63,184.0,2
4.97,1.69,2.76,31.44,1
5.97,2.55,2.71,19.1,1
4.56,3.73,3.33,254.18,2
6.88,0.5,1.79,18.12,1
3.92,3.67,4.22,120.96,1
5.01,6.76,4.81,121.32,2
5.07,4.27,3.94,68.31,2
7.2,2.5,1.33,30.61,2
8.19,-0.2,1.4,72.06,1
6.99,3.17,4.41,38.65,1
6.43,0.96,1.89,241.74,1
6.21,5.57,4.65,133.75,2
7.36,5.03,3.92,178.47,2
7.57,3.48,4.28,122.69,1
7.22,-0.29,1.1,77.06,1
6.44,1.49,1.26,198.55,2
7.57,3.77,4.88,188.83,1
4.25,0.85,2.22,238.84,1
8.3,1.56,1.08,227.0,2
3.07,3.88,3.76,214.16,2
8.4,3.79,4.21,90.79,1
5.75,4.82,3.11,246.55,2
6.22,1.78,2.44,140.26,1
7.55,0.48,1.57,208.87,1
4.0,1.64,2.07,218.05,1
5.96,4.4,4.7,112.96,1
4.59,1.76,2.74,223.7,1
8.0,3.46,3.62,134.32,1
4.15,0.14,1.5,122.66,1
6.81,3.03,2.62,192.47,2
5.19,2.4,2.08,210.75,2
7.04,3.88,4.83,67.23,1
7.92,2.68,2.81,78.07,1
7.33,3.21,4.31,1.35,1
7.91,2.87,1.78,110.86,2
4.55,5.67,4.55,25.51,2
7.22,-0.69,1.02,114.68,1
3.69,3.89,2.42,44.01,2
6.68,2.05,3.85,18.17,1
5.04,0.14,1.86,169.98,1
4.78,2.3,2.84,242.41,1
7.84,3.08,3.58,58.55,1
5.39,0.6,1.23,39.89,1
7.74,3.2,4.42,205.47,1
5.43,2.53,2.51,154.13,2
7.7,1.87,2.55,101.52,1
3.42,4.88,3.8,250.38,2
5.48,2.61,2.54,35.72,2
4.68,4.29,3.81,109.9,2
8.1,3.07,2.86,33.42,2
3.65,2.82,1.69,112.13,2
5.78,2.65,2.28,63.83,2
3.79,2.01,2.86,189.7,1
7.3,5.08,4.15,1.66,2
6.12,4.01,2.2,26.45,2
6.78,1.01,2.51,212.08,1
3.1,4.54,2.85,172.19,2
3.54,2.94,4.82,203.06,1
5.63,2.15,3.55,245.58,1
4.79,3.88,2.1,44.73,2
6.13,2.48,1.15,155.7,2
4.82,4.47,4.01,58.52,2
6.54,1.46,1.01,73.12,2
5.71,3.14,2.52,85.91,2
3.8,4.02,3.37,218.22,2
6.37,1.22,2.51,95.83,1
4.76,5.11,3.94,118.09,2
7.02,1.3,1.52,59.89,1
4.64,6.96,4.99,174.29,2
8.05,1.03,1.64,15.6,1
6.38,0.09,1.7,130.24,1
4.56,5.06,3.65,6.72,2
8.48,0.48,2.24,240.53,1
4.2,3.24,2.68,92.4,2
3.9,3.17,1.99,131.84,2
3.65,4.96,4.73,207.23,2
3.82,4.1,4.3,164.29,1
3.09,5.32,3.91,9.06,2
6.61,6.41,4.84,16.95,2
7.79,2.37,1.86,6.21,2
4.19,2.48,3.08,181.71,1
5.99,3.83,3.85,119.34,1
6.84,-0.35,1.31,197.91,1
7.33,4.63,4.59,2.56,2
4.05,3.94,4.12,17.75,1
8.17,3.61,3.06,193.01,2
7.25,4.79,4.91,216.28,1
5.06,-0.13,1.02,83.11,1
4.99,1.07,1.93,187.08,1
3.97,-0.74,1.2,75.51,1
7.0,2.34,2.52,30.76,1
4.75,4.66,3.27,194.59,2
5.42,2.22,1.41,14.68,2
7.01,3.87,4.37,93.03,1
4.81,3.99,2.09,212.64,2
6.17,4.85,4.26,249.87,2
4.61,3.75,4.77,108.22,1
5.43,2.9,2.18,223.92,2
8.42,0.55,1.23,120.18,1
6.25,2.83,1.43,239.27,2
5.46,2.85,3.39,121.75,1
6.93,3.88,4.37,237.24,1
7.7,2.95,3.26,99.31,1
5.33,4.59,3.27,29.02,2
3.83,4.12,4.76,85.9,1
8.18,2.16,3.07,76.83,1
3.93,4.0,4.28,231.2,1
5.15,0.85,1.46,34.63,1
7.09,3.89,1.91,65.34,2
8.19,3.23,4.86,196.02,1
3.37,5.99,4.91,36.87,2
3.09,2.15,2.25,39.03,1
7.1,1.92,2.49,182.84,1
7.23,2.67,4.56,38.14,1
7.15,3.47,2.19,241.6,2
3.82,5.73,4.5,96.45,2
8.05,4.4,3.83,127.79,2
3.49,4.93,3.88,205.65,2
6.24,6.63,4.85,177.13,2
5.14,3.43,4.46,100.32,1
7.85,2.22,2.0,1.97,2
5.33,0.33,1.49,176.1,1
3.03,2.03,2.37,185.72,1
3.13,-0.06,1.87,215.99,1
5.48,6.08,4.6,1.32,2
5.71,1.88,2.22,229.12,1
3.33,2.8,2.08,152.17,2
5.11,5.1,3.74,134.15,2
7.65,4.58,3.08,100.64,2
6.61,2.48,3.12,82.67,1
4.61,2.75,3.14,7.85,1
8.21,1.51,3.32,191.47,1
6.05,3.92,3.34,66.49,2
3.85,4.41,4.95,188.73,1
5.88,3.84,2.17,156.99,2
6.39,3.57,3.13,179.79,2
6.52,4.62,4.41,217.55,2
7.65,6.01,4.98,127.43,2
5.92,0.55,1.67,141.56,1
6.77,1.81,3.47,92.31,1
5.58,5.0,3.38,211.73,2
5.65,1.68,1.15,200.17,2
4.42,3.44,4.12,218.42,1
7.89,5.04,3.65,175.17,2
5.95,1.73,3.42,179.91,1
5.31,3.2,1.58,4.64,2
3.12,5.21,4.04,234.87,2
8.09,2.67,4.61,121.1,1
3.63,0.8,2.73,112.29,1
7.27,6.22,4.29,199.58,2
6.2,1.57,1.58,200.48,1
6.09,6.27,4.69,190.99,2
6.39,2.64,4.41,28.79,1
6.1,1.85,3.57,20.46,1
6.18,4.13,4.09,36.76,2
7.94,5.7,4.31,237.12,2
6.77,4.27,4.37,182.89,1
3.11,1.98,2.14,55.33,1
6.45,5.17,4.96,126.28,2
5.59,3.96,4.72,70.01,1
4.72,2.35,3.67,126.07,1
4.42,3.98,4.43,174.28,1
3.19,4.3,4.05,149.71,2
4.4,3.39,4.77,125.79,1
8.43,2.18,2.0,90.28,2
7.65,2.65,3.49,38.51,1
7.76,2.67,2.03,153.73,2
7.62,0.69,1.27,197.45,1
5.12,2.46,3.6,123.34,1
7.71,6.2,4.5,193.37,2
7.35,3.12,4.46,17.06,1
7.58,2.04,1.55,113.54,2
5.81,4.96,3.47,115.07,2
6.27,0.46,1.73,236.64,1
3.9,2.35,1.06,121.84,2
5.83,5.1,3.28,86.79,2
6.02,3.7,3.56,165.15,2
4.46,5.56,4.19,55.19,2
5.17,0.59,2.03,218.12,1
8.39,6.61,4.72,94.86,2
8.34,2.55,1.52,140.95,2
5.64,-0.1,1.44,149.13,1
3.52,3.17,1.39,203.96,2
7.14,1.7,1.25,15.75,2
4.54,3.36,4.97,62.24,1
5.72,3.42,4.49,213.73,1
3.25,0.73,2.46,224.13,1
4.44,4.3,4.02,121.45,2
7.62,3.17,3.51,98.97,1
6.8,3.36,2.2,247.44,2
4.13,2.6,3.61,167.79,1
3.78,2.98,4.14,103.17,1
7.22,1.63,2.44,79.09,1
8.24,3.45,4.15,233.75,1
5.04,2.03,3.91,55.95,1
7.54,3.37,4.35,172.02,1
7.85,2.5,3.35,65.83,1
3.61,-0.11,1.66,95.48,1
5.25,0.56,2.4,86.44,1
3.87,2.29,3.16,118.28,1
8.39,1.72,3.09,114.04,1
6.8,0.67,2.17,177.64,1
3.27,5.58,4.51,157.65,2
6.38,5.42,4.08,249.28,2
8.06,4.73,4.02,70.79,2
4.43,1.74,3.25,83.87,1
5.18,4.3,2.6,106.06,2
6.87,0.81,2.16,72.95,1
6.98,3.22,3.98,113.4,1
5.2,0.7,1.48,157.02,1
7.34,3.1,2.18,50.1,2
3.53,6.52,4.84,174.65,2
4.26,2.26,2.05,194.64,2
3.24,4.23,4.97,171.49,1
4.31,4.52,3.12,25.27,2
6.11,0.08,1.56,52.46,1
6.05,2.18,1.02,58.35,2
8.41,5.13,4.13,123.22,2
8.23,4.39,3.78,192.88,2
5.15,4.0,4.02,135.12,1
6.7,3.78,3.08,140.15,2
7.68,2.12,1.48,224.15,2
6.34,2.22,2.44,196.3,1
4.5,2.05,3.26,186.47,1
5.15,5.46,4.05,211.36,2
4.07,3.51,2.32,219.12,2
5.44,3.54,2.41,41.53,2
7.99,2.23,2.13,19.16,2
6.45,0.98,2.92,115.26,1
7.16,4.7,4.35,207.9,2
5.27,3.58,3.69,162.51,1
7.03,0.5,2.07,62.82,1
7.56,0.93,1.55,236.26,1
3.85,5.63,4.04,211.46,2
5.87,0.51,1.41,250.14,1
3.65,3.9,4.35,182.64,1
7.42,3.15,4.1,105.18,1
5.39,4.43,3.63,227.84,2
6.54,4.56,4.02,217.38,2
3.79,4.18,3.65,180.73,2
3.9,4.7,3.63,137.89,2
3.91,3.23,3.83,156.46,1
3.16,3.48,2.38,212.58,2
4.92,3.08,3.89,94.58,1
7.96,4.71,3.75,30.23,2
5.36,4.39,3.78,138.13,2
6.32,3.03,2.69,119.79,2
7.43,3.98,4.97,183.47,1
5.85,-0.16,1.21,252.46,1
4.81,3.28,2.67,181.85,2
4.71,1.2,2.75,224.21,1
3.7,3.51,2.47,44.06,2
8.36,-0.38,1.18,119.16,1
8.29,4.48,2.76,135.24,2
6.64,5.18,3.91,88.61,2
7.42,3.63,3.13,105.44,2
8.12,4.73,3.51,158.39,2
5.75,2.19,3.63,45.32,1
3.02,4.35,4.97,42.31,1
8.47,3.48,1.62,11.06,2
5.6,2.76,1.31,184.42,2
6.75,1.6,2.63,123.08,1
3.05,2.82,2.49,122.39,2
6.47,0.26,2.25,62.14,1
3.34,6.05,4.74,212.83,2
7.28,0.22,1.09,18.96,1
7.02,6.27,4.37,217.13,2
4.89,2.99,1.91,232.14,2
3.4,3.84,4.62,32.05,1
3.8,1.23,1.11,11.02,2
7.1,4.87,4.37,173.63,2
7.15,0.23,1.81,77.66,1
3.49,4.0,3.94,40.96,2
3.59,1.97,3.16,8.11,1
4.05,2.67,1.44,97.28,2
4.03,3.03,2.38,134.83,2
3.49,2.55,4.35,190.44,1
3.06,1.98,2.8,46.32,1
7.05,5.45,4.13,151.48,2
5.44,0.03,1.08,90.18,1
3.13,2.13,1.87,126.47,2
3.45,5.03,3.41,227.38,2
4.61,-0.19,1.57,28.98,1
5.41,2.05,3.41,29.8,1
7.37,3.2,2.24,199.55,2
5.77,5.53,4.54,13.45,2
4.07,3.64,2.38,109.27,2
7.95,2.75,2.24,168.46,2
7.37,5.57,4.4,57.96,2
7.8,2.63,3.82,170.74,1
3.94,1.75,3.09,156.2,1
6.64,2.41,2.28,22.22,2
6.53,1.99,3.54,4.13,1
3.28,6.52,4.76,189.06,2
7.39,4.0,2.14,251.13,2
4.41,2.09,3.79,86.75,1
8.34,3.69,3.68,13.04,2
4.04,6.67,4.88,173.78,2
3.72,1.12,1.04,221.29,2
6.93,3.47,4.68,89.3,1
7.9,2.19,3.93,243.95,1
3.63,1.08,2.42,124.06,1
7.72,3.64,3.72,116.89,1
6.68,2.33,2.91,113.98,1
3.31,2.03,1.1,131.39,2
7.19,3.33,4.78,66.81,1
6.92,2.36,4.25,180.13,1
3.95,1.75,2.73,123.24,1
8.21,6.11,4.18,83.65,2
7.6,0.5,1.15,28.7,1
5.9,5.93,4.45,34.19,2
6.89,3.12,4.44,4.08,1
3.16,2.7,1.39,83.33,2
3.07,3.47,2.73,219.85,2
8.42,2.75,3.0,185.13,1
3.69,4.74,4.02,209.71,2
6.53,2.78,4.37,198.0,1
3.76,3.14,4.39,9.65,1
6.19,2.62,2.3,53.57,2
7.03,0.78,2.02,63.82,1
3.81,4.46,3.51,179.05,2
3.98,5.2,4.5,112.84,2
3.24,2.96,3.29,24.45,1
5.92,4.41,4.48,191.44,1
7.62,4.62,4.63,232.7,1
7.24,2.18,3.07,92.0,1
3.25,1.7,3.39,160.33,1
3.78,4.79,3.36,11.31,2
6.33,1.43,1.86,128.58,1
7.94,1.87,3.0,78.07,1
7.71,4.44,2.73,178.85,2
4.69,4.54,4.85,36.38,1
7.43,2.4,4.35,206.87,1
3.72,3.61,4.46,71.46,1
5.93,2.5,4.31,21.72,1
6.48,5.57,4.92,220.85,2
4.74,2.55,2.67,19.76,1
8.14,5.1,4.33,63.11,2
8.22,4.49,3.03,178.16,2
3.17,5.52,3.98,118.36,2
8.08,5.55,4.58,96.31,2
4.17,2.19,2.21,234.29,1
4.21,4.37,3.17,22.26,2
8.26,2.61,3.38,208.04,1
3.86,6.76,4.87,97.07,2
6.15,3.49,3.07,25.96,2
3.67,0.12,1.68,34.6,1
3.8,1.97,2.52,75.81,1
6.91,3.72,2.07,252.2,2
4.26,4.49,3.49,108.93,2
3.28,3.32,4.48,26.19,1
3.49,1.43,1.21,233.09,2
3.07,5.73,4.5,52.49,2
7.91,3.32,3.52,191.38,1
8.03,4.38,4.06,82.65,2
4.39,5.92,4.15,246.54,2
3.5,3.41,2.08,105.56,2
3.69,4.99,3.29,137.94,2
3.19,3.23,3.57,79.19,1
5.49,5.94,4.68,118.24,2
4.36,4.86,3.62,239.83,2
5.36,4.19,4.27,80.93,1
3.82,1.91,2.13,245.63,1
7.28,1.63,3.03,123.04,1
3.42,1.95,2.23,201.84,1
4.39,1.28,2.22,108.16,1
3.13,4.31,2.6,82.41,2
6.46,2.09,1.18,245.82,2
6.37,-0.32,1.66,116.18,1
8.5,1.6,1.32,130.44,2
7.84,3.21,1.44,30.65,2
6.98,-0.23,1.05,219.1,1
6.15,2.54,4.25,210.9,1
7.76,2.44,4.43,177.68,1
6.26,-0.01,1.81,231.32,1
5.43,2.52,4.1,96.35,1
5.62,3.55,3.37,148.98,2
6.37,1.02,2.39,46.61,1
6.71,6.08,4.26,46.47,2
8.11,2.7,2.55,237.95,2
6.75,3.94,3.96,66.22,1
5.73,1.33,1.3,139.43,2
3.64,5.0,4.06,236.21,2
5.13,4.89,3.08,16.93,2
7.47,1.24,2.01,247.36,1
6.75,4.06,4.13,77.2,1
6.26,2.01,1.77,212.51,2
3.17,1.49,2.22,89.09,1
4.87,2.93,1.74,224.87,2
5.11,6.13,4.56,56.38,2
7.74,4.33,3.48,223.9,2
7.11,5.7,3.84,230.36,2
7.61,1.6,2.77,165.92,1
5.5,4.31,2.94,194.15,2
5.94,2.61,4.08,204.22,1
8.22,6.22,4.48,78.0,2
4.9,3.2,4.79,193.48,1
7.47,2.63,4.4,194.85,1
7.33,0.93,2.47,119.19,1
5.57,3.25,2.96,178.33,2
6.85,3.99,4.49,42.46,1
5.16,1.62,1.31,41.68,2
4.8,3.84,4.46,59.05,1
5.2,5.93,4.99,236.34,2
7.63,0.35,2.2,121.65,1
3.34,0.62,2.61,84.34,1
4.22,2.52,1.31,50.74,2
6.75,2.61,2.77,203.4,1
4.89,2.98,3.1,133.25,1
4.92,2.84,2.01,134.5,2
3.26,3.01,2.5,11.91,2
7.05,2.93,4.34,28.45,1
4.99,2.53,3.91,199.39,1
5.51,2.27,2.6,1.12,1
4.31,5.29,4.67,81.99,2
4.74,1.61,3.07,23.98,1
4.69,4.78,3.53,230.42,2
7.78,2.88,2.42,249.59,2
3.1,1.65,1.07,34.37,2
3.04,2.18,3.72,98.44,1
7.16,3.69,4.7,39.79,1
8.09,3.21,3.98,240.39,1
5.26,-0.81,1.04,184.57,1
4.15,5.49,4.45,8.57,2
4.71,0.81,1.86,25.52,1
6.13,5.44,4.16,224.48,2
5.35,4.45,4.78,117.17,1
3.52,5.72,4.91,220.52,2
5.21,0.13,1.82,102.06,1
6.62,4.5,3.27,138.06,2
7.73,5.13,4.45,171.94,2
4.9,2.38,4.1,121.71,1
4.16,3.45,3.33,93.25,2
7.97,-0.71,1.12,41.55,1
7.21,2.56,1.02,17.74,2
5.22,2.34,1.23,24.97,2
6.83,6.4,4.87,55.75,2
5.03,0.73,2.05,216.63,1
8.11,1.8,3.14,143.27,1
5.2,0.11,1.49,199.61,1
3.87,1.04,2.9,47.92,1
7.25,3.13,1.46,231.29,2
6.0,5.23,3.45,7.39,2
3.97,5.8,4.83,143.4,2
4.77,3.12,3.63,66.57,1
3.29,4.14,3.44,52.83,2
6.41,2.2,1.14,41.89,2
3.4,0.91,2.14,8.37,1
6.43,4.97,4.64,92.85,2
6.53,4.26,3.5,94.19,2
6.22,3.76,2.59,3.26,2
3.08,3.12,1.58,56.81,2
8.32,0.98,2.34,154.67,1
5.32,2.77,1.11,89.91,2
5.31,-0.18,1.47,65.29,1
4.97,3.62,4.67,35.39,1
7.76,3.8,3.78,164.14,2
4.45,3.99,3.91,37.79,2
7.2,3.57,3.95,239.32,1
6.22,5.41,4.73,163.11,2
4.21,4.67,4.03,131.72,2
5.47,2.04,1.81,59.79,2
4.51,6.15,4.42,64.87,2
6.32,3.86,3.33,228.17,2
5.53,2.58,3.88,77.57,1
8.22,3.1,3.5,229.07,1
6.66,0.56,1.29,154.66,1
5.04,3.66,3.53,45.92,2
6.56,6.16,4.91,104.23,2
7.75,2.05,1.88,138.48,2
4.61,1.71,3.47,164.54,1
7.86,1.97,1.29,94.04,2
3.97,3.04,4.57,234.48,1
6.06,0.95,2.81,76.67,1
3.55,3.11,1.36,185.91,2
8.12,0.8,2.35,140.97,1
3.35,3.89,3.04,109.57,2
4.21,3.17,1.19,59.23,2
7.63,2.88,3.1,16.2,1
3.63,4.01,2.51,183.98,2
3.75,4.88,3.69,239.75,2
8.11,1.66,1.33,75.15,2
5.17,1.8,3.25,59.78,1
6.69,2.22,1.89,112.07,2
7.93,4.29,3.61,104.72,2
7.25,5.29,3.48,32.47,2
5.13,4.2,4.49,15.0,1
5.19,2.17,2.97,116.88,1
6.29,2.3,4.25,234.11,1
5.42,4.41,4.96,249.54,1
7.41,3.8,2.78,110.39,2
6.18,-0.27,1.47,120.05,1
7.39,-0.08,1.74,40.73,1
5.21,2.45,4.44,81.77,1
3.06,4.76,3.83,126.59,2
8.34,1.93,1.26,232.69,2
4.71,1.83,3.52,191.07,1
4.19,1.02,2.97,158.49,1
7.01,2.15,4.11,73.41,1
7.76,1.15,1.29,102.57,1
4.13,1.1,1.83,191.74,1
4.25,2.62,4.34,238.33,1
7.04,5.78,4.12,74.87,2
6.46,1.21,2.45,72.8,1
7.89,3.01,3.24,65.59,1
6.56,2.54,3.9,141.48,1
3.8,2.91,2.03,54.62,2
5.84,3.03,4.03,187.99,1
4.82,3.48,3.48,197.65,2
4.37,3.63,3.24,10.61,2
5.21,2.63,2.6,208.22,2
6.49,1.48,1.44,139.7,2
4.79,1.39,2.95,183.42,1
4.7,4.05,3.03,227.23,2
3.02,1.16,2.2,163.95,1
4.73,1.33,1.12,90.72,2
5.1,2.54,4.27,173.98,1
3.35,1.52,2.36,141.69,1
5.36,0.66,1.07,175.66,1
6.83,1.31,1.99,215.47,1
5.81,4.03,3.99,8.92,2
6.35,1.2,1.12,14.85,2
7.63,2.89,3.98,198.2,1
8.23,5.29,4.27,137.99,2
5.21,2.87,2.21,242.84,2
3.07,0.87,1.95,25.43,1
4.12,4.36,4.52,36.93,1
8.45,2.07,2.13,245.55,1
5.7,2.83,1.93,173.96,2
